operator,circle,internet,whatsapp,facebook,total,cost,validity
Airtel,Andhra Pradesh,250,75,,325,54,7
Airtel,Andhra Pradesh,1000,100,100,1200,202,30
Airtel,Assam,1000,50,50,1100,174,28
Airtel,Gujarat,100,,300,400,61,30
Airtel,Himachal Pradesh,200,50,50,300,57,7
Airtel,Himachal Pradesh,500,100,100,700,125,14
Airtel,Haryana,200,50,50,300,57,7
Airtel,Haryana,500,100,100,700,125,14
Airtel,Jammu and Kashmir,5,,150,155,31,14
Airtel,Kerala,5,,150,155,33,15
Airtel,Kolkata,5,,150,155,22,15
Airtel,MP and Chattisgarh,1000,250,250,1500,119,18
Airtel,North East,,200,200,400,77,30
Airtel,North East,1000,50,50,1100,174,28
Airtel,Punjab,200,50,50,300,57,7
Airtel,Punjab,500,100,100,700,125,14
Airtel,UP East,50,,150,200,22,15
