state,operator,total_data,validity,cost,type,internet,facebook,twitter,whatsapp
UP West/Uttarakhand,Reliance,100,30,71,Internet,100,NA,NA,NA
Madhya Pradesh/Chhattisgarh,Airtel,525,28,155,Internet,525,NA,NA,NA
Rajasthan,Airtel,525,28,155,Internet,525,NA,NA,NA
West Bengal,Airtel,525,28,155,Internet,525,NA,NA,NA
Maharashtra/Goa,Airtel,525,28,153,Internet,525,NA,NA,NA
Kolkata,Airtel,525,28,149,Internet,525,NA,NA,NA
UP East,Airtel,525,28,148,Internet,525,NA,NA,NA
Karnataka,Idea,200,30,46,WA,NA,NA,NA,200
Assam,Airtel,525,28,125,Internet,525,NA,NA,NA
North East,Airtel,525,28,125,Internet,525,NA,NA,NA
Jammu and Kashmir,Airtel,525,28,124,Internet,525,NA,NA,NA
Orissa,Airtel,525,28,123,Internet,525,NA,NA,NA
Delhi NCR,Idea,250,30,54,WA,NA,NA,NA,250
Rajasthan,Idea,200,30,43,WA,NA,NA,NA,200
Gujarat,Airtel,200,30,41,WA,NA,NA,NA,200
Orissa,Airtel,200,28,43,WA,NA,NA,NA,200
Andhra Pradesh,Idea,200,30,39,WA,NA,NA,NA,200
Delhi NCR,Idea,200,30,39,WA,NA,NA,NA,200
Haryana,Idea,200,30,39,WA,NA,NA,NA,200
Punjab,Idea,200,30,39,Internet,200,NA,NA,NA
Tamil Nadu,Idea,200,30,39,WA,NA,NA,NA,200
UP East,Idea,200,30,39,Internet,200,NA,NA,NA
UP West/Uttarakhand,Idea,200,30,39,WA,NA,NA,NA,200
North East,Airtel,400,30,77,WA/FB,NA,NA,NA,NA
Maharashtra/Goa,Idea,200,30,38,WA,NA,NA,NA,200
Maharashtra/Goa,Airtel,1000,28,199,Internet,1000,NA,NA,NA
Kerala,Idea,350,20,97,Internet,350,NA,NA,NA
Karnataka,Idea,250,30,46,WA,NA,NA,NA,250
Mumbai,Airtel,600,21,154,Internet,600,NA,NA,NA
Kerala,Idea,1000,30,179,Internet,1000,NA,NA,NA
Kolkata,Idea,1000,30,179,Internet,1000,NA,NA,NA
West Bengal,Idea,1000,30,179,Internet,1000,NA,NA,NA
Bihar/Jharkhand,Idea,1000,30,175,Internet,1000,NA,NA,NA
Karnataka,Idea,1000,30,174,Internet,1000,NA,NA,NA
Delhi NCR,Idea,200,28,37,WA,NA,NA,NA,200
Rajasthan,Airtel,200,28,37,FB,NA,200,NA,NA
Punjab,Airtel,100,7,73,Internet,100,NA,NA,NA
Bihar/Jharkhand,Airtel,100,7,72,Internet,100,NA,NA,NA
Maharashtra/Goa,Idea,1000,28,179,Internet,1000,NA,NA,NA
Gujarat,Idea,1000,28,178,Internet,1000,NA,NA,NA
Gujarat,Airtel,1000,28,178,Internet,1000,NA,NA,NA
Madhya Pradesh/Chhattisgarh,Idea,1000,28,178,Internet,1000,NA,NA,NA
Madhya Pradesh/Chhattisgarh,Airtel,1000,28,178,Internet,1000,NA,NA,NA
Madhya Pradesh/Chhattisgarh,Airtel,1000,28,178,Internet,1000,NA,NA,NA
Haryana,Airtel,100,7,71,Internet,100,NA,NA,NA
Himachal Pradesh,Airtel,100,7,71,Internet,100,NA,NA,NA
Kolkata,Airtel,1000,28,177,Internet,1000,NA,NA,NA
Kolkata,Airtel,1000,28,177,Internet,1000,NA,NA,NA
West Bengal,Airtel,1000,28,177,Internet,1000,NA,NA,NA
West Bengal,Airtel,1000,28,177,Internet,1000,NA,NA,NA
Delhi NCR,Airtel,1000,28,176,Internet,1000,NA,NA,NA
Andhra Pradesh,Idea,1000,28,175,Internet,1000,NA,NA,NA
Andhra Pradesh,Airtel,1000,28,175,Internet,1000,NA,NA,NA
Bihar/Jharkhand,Airtel,1000,28,175,Internet,1000,NA,NA,NA
Delhi NCR,Idea,1000,28,175,Internet,1000,NA,NA,NA
Haryana,Idea,1000,28,175,Internet,1000,NA,NA,NA
Haryana,Airtel,1000,28,175,Internet,1000,NA,NA,NA
Himachal Pradesh,Idea,1000,28,175,Internet,1000,NA,NA,NA
Himachal Pradesh,Airtel,1000,28,175,Internet,1000,NA,NA,NA
Karnataka,Airtel,1000,28,175,Internet,1000,NA,NA,NA
Kerala,Airtel,1000,28,175,Internet,1000,NA,NA,NA
Maharashtra/Goa,Airtel,1000,28,175,Internet,1000,NA,NA,NA
Mumbai,Idea,1000,28,175,Internet,1000,NA,NA,NA
Mumbai,Airtel,1000,28,175,Internet,1000,NA,NA,NA
Mumbai,Airtel,1000,28,175,Internet,1000,NA,NA,NA
Punjab,Idea,1000,28,175,Internet,1000,NA,NA,NA
Punjab,Airtel,1000,28,175,Internet,1000,NA,NA,NA
Punjab,Airtel,1000,28,175,Internet,1000,NA,NA,NA
Rajasthan,Idea,1000,28,175,Internet,1000,NA,NA,NA
Rajasthan,Airtel,1000,28,175,Internet,1000,NA,NA,NA
UP West/Uttarakhand,Idea,1000,28,175,Internet,1000,NA,NA,NA
UP West/Uttarakhand,Airtel,1000,28,175,Internet,1000,NA,NA,NA
UP West/Uttarakhand,Airtel,1000,28,175,Internet,1000,NA,NA,NA
Bihar/Jharkhand,Airtel,200,10,97,Internet,200,NA,NA,NA
UP East,Airtel,1000,28,171,Internet,1000,NA,NA,NA
UP East,Airtel,1000,28,171,Internet,1000,NA,NA,NA
