state,operator,data_benefit,validity,cost,type,bitsperday,costperbit,dataperdayperrupee
UP West/Uttarakhand,Reliance,100,30,71,Internet,3.333333333,0.71,0.046948357
Madhya Pradesh/Chhattisgarh,Airtel,525,28,155,Internet,18.75,0.295238095,0.120967742
Rajasthan,Airtel,525,28,155,Internet,18.75,0.295238095,0.120967742
West Bengal,Airtel,525,28,155,Internet,18.75,0.295238095,0.120967742
Maharashtra/Goa,Airtel,525,28,153,Internet,18.75,0.291428571,0.12254902
Kolkata,Airtel,525,28,149,Internet,18.75,0.283809524,0.125838926
UP East,Airtel,525,28,148,Internet,18.75,0.281904762,0.126689189
Karnataka,Idea,200,30,46,WA,6.666666667,0.23,0.144927536
Assam,Airtel,525,28,125,Internet,18.75,0.238095238,0.15
North East,Airtel,525,28,125,Internet,18.75,0.238095238,0.15
Jammu and Kashmir,Airtel,525,28,124,Internet,18.75,0.236190476,0.151209677
Orissa,Airtel,525,28,123,Internet,18.75,0.234285714,0.152439024
Delhi NCR,Idea,250,30,54,WA,8.333333333,0.216,0.154320988
Rajasthan,Idea,200,30,43,WA,6.666666667,0.215,0.15503876
Gujarat,Airtel,200,30,41,WA,6.666666667,0.205,0.162601626
Orissa,Airtel,200,28,43,WA,7.142857143,0.215,0.166112957
Andhra Pradesh,Idea,200,30,39,WA,6.666666667,0.195,0.170940171
Delhi NCR,Idea,200,30,39,WA,6.666666667,0.195,0.170940171
Haryana,Idea,200,30,39,WA,6.666666667,0.195,0.170940171
Punjab,Idea,200,30,39,Internet,6.666666667,0.195,0.170940171
Tamil Nadu,Idea,200,30,39,WA,6.666666667,0.195,0.170940171
UP East,Idea,200,30,39,Internet,6.666666667,0.195,0.170940171
UP West/Uttarakhand,Idea,200,30,39,WA,6.666666667,0.195,0.170940171
North East,Airtel,400,30,77,"WA,FB",13.33333333,0.1925,0.173160173
Maharashtra/Goa,Idea,200,30,38,WA,6.666666667,0.19,0.175438596
Maharashtra/Goa,Airtel,1000,28,199,Internet,35.71428571,0.199,0.179468772
Kerala,Idea,350,20,97,Internet,17.5,0.277142857,0.180412371
Karnataka,Idea,250,30,46,WA,8.333333333,0.184,0.18115942
Mumbai,Airtel,600,21,154,Internet,28.57142857,0.256666667,0.185528757
Kerala,Idea,1000,30,179,Internet,33.33333333,0.179,0.186219739
Kolkata,Idea,1000,30,179,Internet,33.33333333,0.179,0.186219739
West Bengal,Idea,1000,30,179,Internet,33.33333333,0.179,0.186219739
Bihar/Jharkhand,Idea,1000,30,175,Internet,33.33333333,0.175,0.19047619
Karnataka,Idea,1000,30,174,Internet,33.33333333,0.174,0.191570881
Delhi NCR,Idea,200,28,37,WA,7.142857143,0.185,0.193050193
